item_kind,id,title,slug,url,post_type,status,published_at,modified_at,mime_type,parent_id,content_length,quality_flags,migration_recommendation
"post","1","Hello world!","hello-world","https://avukatgulcinkahraman.com/hello-world/","post","publish","2024-07-23 13:01:50","2024-07-23 13:01:50","","0","137","demo|http_reference","remove_or_410"
"page","3","Gizlilik Politikamız","gizlilik-politikamiz","https://avukatgulcinkahraman.com/gizlilik-politikamiz/","page","draft","2024-07-23 13:01:50","2024-08-16 21:09:54","","0","5543","demo|http_reference","rewrite_before_publish"
"navigation","4","Navigation","navigation","http://avukatgulcinkahraman.com/index.php/2024/07/23/navigation/","wp_navigation","publish","2024-07-23 13:01:51","2024-07-30 09:14:52","","0","718","http_reference","rebuild_menu"
"media","16","hero-bg","hero-bg","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/hero-bg.jpg","attachment","inherit","2024-07-23 13:02:43","2024-07-23 13:02:43","image/jpeg","0","0","http_reference","media_review"
"media","47","about","about","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/about.jpg","attachment","inherit","2024-07-23 13:02:43","2024-07-23 13:02:43","image/jpeg","0","0","http_reference","media_review"
"media","57","customer-1","customer-1","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/customer-1.jpg","attachment","inherit","2024-07-23 13:02:43","2024-07-23 13:02:43","image/jpeg","0","0","http_reference","exclude_demo"
"media","59","customer-3","customer-3","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/customer-3.jpg","attachment","inherit","2024-07-23 13:02:43","2024-07-23 13:02:43","image/jpeg","0","0","http_reference","exclude_demo"
"media","69","cta-img","cta-img","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/cta-img.jpg","attachment","inherit","2024-07-23 13:02:43","2024-07-23 13:02:43","image/jpeg","0","0","http_reference","media_review"
"media","75","gallery-1","gallery-1","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/gallery-1.jpg","attachment","inherit","2024-07-23 13:02:43","2024-07-23 13:02:43","image/jpeg","0","0","http_reference","media_review"
"media","76","gallery-2","gallery-2","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/gallery-2.jpg","attachment","inherit","2024-07-23 13:02:43","2024-07-23 13:02:43","image/jpeg","0","0","http_reference","media_review"
"media","77","gallery-3","gallery-3","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/gallery-3.jpg","attachment","inherit","2024-07-23 13:02:43","2024-07-23 13:02:43","image/jpeg","0","0","http_reference","media_review"
"media","110","logo","logo","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/logo.svg","attachment","inherit","2024-07-23 13:02:44","2024-07-23 13:02:44","image/svg+xml","0","0","http_reference","media_review"
"media","129","client-logo-1","client-logo-1","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/client-logo-1.png","attachment","inherit","2024-07-23 13:02:44","2024-07-23 13:02:44","image/png","0","0","http_reference","media_review"
"media","130","client-logo-2","client-logo-2","http://avukatgulcinkahraman.com/wp-content/uploads/2021/05/client-logo-2.png","attachment","inherit","2024-07-23 13:02:44","2024-07-23 13:02:44","image/png","0","0","http_reference","media_review"
